Title,Price_GBP,Rating,Availability,Subcategory,URL
It's Only the Himalayas,Â45.17,2,In stock,Travel,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â49.43,4,In stock,Travel,http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
See America: A Celebration of Our National Parks & Treasured Sites,Â48.87,3,In stock,Travel,http://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â36.94,2,In stock,Travel,http://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
Under the Tuscan Sun,Â37.33,3,In stock,Travel,http://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
A Summer In Europe,Â44.34,2,In stock,Travel,http://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
The Great Railway Bazaar,Â30.54,1,In stock,Travel,http://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
A Year in Provence (Provence #1),Â56.88,4,In stock,Travel,http://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â23.21,1,In stock,Travel,http://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Neither Here nor There: Travels in Europe,Â38.95,3,In stock,Travel,http://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
"1,000 Places to See Before You Die",Â26.08,5,In stock,Travel,http://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
Sharp Objects,Â47.82,4,In stock,Mystery,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
"In a Dark, Dark Wood",Â19.63,1,In stock,Mystery,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
The Past Never Ends,Â56.50,4,In stock,Mystery,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
A Murder in Time,Â16.64,1,In stock,Mystery,http://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),Â44.10,4,In stock,Mystery,http://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Last Mile (Amos Decker #2),Â54.21,2,In stock,Mystery,http://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
That Darkness (Gardiner and Renner #1),Â13.92,1,In stock,Mystery,http://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Tastes Like Fear (DI Marnie Rome #3),Â10.69,1,In stock,Mystery,http://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
A Time of Torment (Charlie Parker #14),Â48.35,5,In stock,Mystery,http://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
A Study in Scarlet (Sherlock Holmes #1),Â16.73,2,In stock,Mystery,http://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),Â26.80,3,In stock,Mystery,http://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),Â54.36,4,In stock,Mystery,http://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
